rok;ico;ci_type;paragraf;paragraf_nazev;par_skupina;par_oddil;polozka;polozka_nazev;druh;trida;seskupeni;podseskupeni;schvaleny_rozpocet;upraveny_rozpocet;skutecnost
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1111;Daň z příjmů fyzických osob ze závislé činnosti a funkčních požitků;Příjmy;Daňové příjmy;Daně z příjmů, zisku a kapitálových výnosů;Daně z příjmů fyzických osob;4500000.00;5800000.00;5777352.62
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1112;Daň z příjmů fyzických osob ze samostatné výdělečné činnosti;Příjmy;Daňové příjmy;Daně z příjmů, zisku a kapitálových výnosů;Daně z příjmů fyzických osob;500000.00;580000.00;578672.15
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1113;Daň z příjmů fyzických osob z kapitálových výnosů;Příjmy;Daňové příjmy;Daně z příjmů, zisku a kapitálových výnosů;Daně z příjmů fyzických osob;500000.00;600000.00;583046.61
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1121;Daň z příjmů právnických osob;Příjmy;Daňové příjmy;Daně z příjmů, zisku a kapitálových výnosů;Daně z příjmů právnických osob;5500000.00;5620000.00;5612367.30
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1122;Daň z příjmů právnických osob za obce;Příjmy;Daňové příjmy;Daně z příjmů, zisku a kapitálových výnosů;Daně z příjmů právnických osob;600000.00;600000.00;467780.00
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1211;Daň z přidané hodnoty;Příjmy;Daňové příjmy;Daně ze zboží a služeb v tuzemsku;Obecné daně ze zboží a služeb v tuzemsku;7500000.00;12180000.00;12170735.75
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1332;Poplatky za znečišťování ovzduší;Příjmy;Daňové příjmy;Daně a poplatky z vybraných činností a služeb;Poplatky a odvody v oblasti životního prostředí;5000.00;5000.00;0.00
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1334;Odvody za odnětí půdy ze zemědělského půdního fondu;Příjmy;Daňové příjmy;Daně a poplatky z vybraných činností a služeb;Poplatky a odvody v oblasti životního prostředí;0.00;101000.00;96021.00
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1340;Poplatek za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů;Příjmy;Daňové příjmy;Daně a poplatky z vybraných činností a služeb;Místní poplatky z vybraných činností a služeb;1000000.00;1000000.00;995890.00
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1341;Poplatek ze psů;Příjmy;Daňové příjmy;Daně a poplatky z vybraných činností a služeb;Místní poplatky z vybraných činností a služeb;70000.00;70000.00;52885.00
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1343;Poplatek za užívání veřejného prostranství;Příjmy;Daňové příjmy;Daně a poplatky z vybraných činností a služeb;Místní poplatky z vybraných činností a služeb;20000.00;20000.00;19300.00
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1347;Poplatek za provozovaný výherní hrací přístroj;Příjmy;Daňové příjmy;Daně a poplatky z vybraných činností a služeb;Místní poplatky z vybraných činností a služeb;20000.00;20000.00;0.00
2013;00282618;2;0000;Pro příjmy (technický záznam);Příjmy;Příjmy;1351;Odvod z loterií a podobných her kromě z výherních hracích přístrojů;Příjmy;Daňové příjmy;Daně a poplatky z vybraných činností a služeb;Ostatní odvody z vybraných činností a služeb;100000.00;130000.00;122890.12
