cislo_zasedani;datum;rok;kategorie;tema;castka;vydaj;text;soubor;url
1;2022-10-26;2022;schvaluje;Stavby, investice a územní rozvoj;;Bez částky;Žádost projekční kanceláře Ing. Petr Perun Praha, v zastoupení investora M. F. a M. F., o vyjádření k projektové dokumentaci na stavbu rodinného domu pozemku p.č. 7600, k.ú. Střelice u Brna, lokalita Žleby II.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Pozemky, majetek a bydlení;;Bez částky;Žádost pana D. O. o souhlas s provedením sondy na obecním pozemku p.č. 995/4 s cílem najít přesné umístění zbudované kanalizační přípojky pro stavební pozemek p.č. 2903/49, k.ú. Střelice u Brna, ul. Jaroslava Svobody. Sonda nebude zasahovat do komunikace. Bude probíhat v zeleném pásu mezi komunikací a stavebním pozemkem.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Stavby, investice a územní rozvoj;;Bez částky;Projektovou dokumentaci na stavbu rodinného domu na pozemku p.č. 1527, k.ú. Střelice u Brna, ul. Za Humny od projekční kanceláře TP stav Brno s.r.o. v zastoupení stavebníka pana P. Š.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Pozemky, majetek a bydlení;;Bez částky;Žádost M. K. o pronájem části pozemku p.č. 385/1, k.ú. Střelice u Brna, ul. Ant. Smutného.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Pozemky, majetek a bydlení;;Bez částky;Žádost A. Ch. o vyjádření k projektové dokumentaci na stavbu zahradního domku na pozemku p.č. 1675/2, p.č. 1679/1, p.č. 1674/9, k.ú. Střelice u Brna ul. Nebovidská.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Stavby, investice a územní rozvoj;;Bez částky;Žádost majiteli Pekařství KESI o souhlas s napojením stánku u bývalého obchodního domu na vodovodní řad – ul. Antonína Smutného a kanalizační přípojky na jednotnou kanalizaci v komunikaci na ul. Školní.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Ostatní;11790;10–50 tis. Kč;Firma PP stavmal s.r.o., Střelice předkládá nabídku na výmalbu dvou kanceláří na Obecním úřadě. Celková cena – 11 790Kč bez DPH.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Ostatní;41274;10–50 tis. Kč;Firma Matějka Bohumil, podlahář Jamolice 137, Moravský Krumlov předkládá nabídku na výměnu koberců a vyrovnání povrchu stávajících podlah ve dvou kancelářích Obecního úřadu. Cena 41 274Kč bez DPH.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Životní prostředí a odpady;;Bez částky;Nákup ovocných stromků – dosadba stromků v sadě a v aleji na Myslivně – cena 20 000,Kč bez DPH.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
1;2022-10-26;2022;schvaluje;Dotace a finance;;Bez částky;Rozpočtové opatření č. 10/2022.;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
