cislo_zasedani;datum;rok;pocet_bodu;soubor;url
1;2022-10-26;2022;23;Zápis z 1. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 26. 10. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/426/Z%C3%A1pis%20z%201.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2026.%2010.%202022.pdf
2;2022-11-09;2022;25;Zápis z 2. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 9. 11. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/425/Z%C3%A1pis%20z%202.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%209.%2011.%202022.pdf
3;2022-11-16;2022;11;Zápis z 3. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích 16.11.2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/424/Z%C3%A1pis%20z%203.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2016.11.2022.pdf
4;2022-11-30;2022;22;Zápis z 4. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/423/Z%C3%A1pis%20z%204.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch.pdf
5;2022-12-14;2022;25;Zápis z 5. zasedání Rady obce Střelice, konané na Obecním úřadě ve Střelicích.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/422/Z%C3%A1pis%20z%205.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch.pdf
6;2022-12-21;2022;16;Zápis ze 6. zasedání Rady obce Střelice, konaném na Obecním úřadě ve Střelicích 21. 12. 2022.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/421/Z%C3%A1pis%20ze%206.%20zased%C3%A1n%C3%AD%20Rady%20obce%20St%C5%99elice%2C%20konan%C3%A9m%20na%20Obecn%C3%ADm%20%C3%BA%C5%99ad%C4%9B%20ve%20St%C5%99elic%C3%ADch%2021.%2012.%202022.pdf
7;2023-01-04;2023;12;RO č.7 - zápis.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/434/RO%20%C4%8D.7%20-%20z%C3%A1pis.pdf
8;2023-01-18;2023;17;RO č.8 - zápis.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/435/RO%20%C4%8D.8%20-%20z%C3%A1pis.pdf
9;2023-01-30;2023;17;RO č.9 - zápis.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/436/RO%20%C4%8D.9%20-%20z%C3%A1pis.pdf
10;2023-02-15;2023;20;RO č.10 - zápis.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/437/RO%20%C4%8D.10%20-%20z%C3%A1pis.pdf
