cislo_zasedani;datum;rok;kategorie;tema;castka;vydaj;pro;proti;zdrzel;text;soubor;url
1;2022-10-19;2022;volí;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice ověřilo platnost volby 15 členů Zastupitelstva obce Střelice a konstatovalo, že všichni zastupitelé mají platné osvědčení o zvolení zastupitelkou či zastupitelem obce Střelice.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;schvaluje;Ostatní;;Bez částky;;;;Zastupitelstvo obce Střelice schválilo jako stálé zapisovatelky na volební období 2022-26 paní Ivanu Peškovou a jako náhradnici paní Helenu Ferdusovou.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;bere na vědomí;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice vzalo na vědomí, že všichni přítomní členové Zastupitelstva obce Střelice, kteří získali mandát ve volbách konaných ve dnech 23. a 24. září 2022, složili na dnešním zasedání zákonem stanovený slib a tím nabyli všechna práva a povinnosti člena Zastupitelstva obce Střelice.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;schvaluje;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice schválilo upravený a doplněný program dnešního zasedání zastupitelstva obce.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;schvaluje;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice schválilo za ověřovatele zápisu paní Mgr. Evu Bartoňovou a pana Mgr. Ing. Davida Dvořáka a do návrhové komise paní Zuzanu Hlouškovou a pana Jana Dlapku.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;schvaluje;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice schválilo mandátovou a volební komisi ve složení: Vojtěch Dlapka, Ing. Jiří Kliment, David Otoupalík, Martin Skoupý a Jaroslav Štveráček.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;schvaluje;Ostatní;;Bez částky;;;;Zastupitelstvo obce Střelice schválilo volební řád ustavujícího zasedání zastupitelstva obce.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;volí;Ostatní;;Bez částky;;;;Zastupitelstvo obce Střelice zvolilo v souladu s § 103, odst. (2), § 99, odst. (3) zákona č. 128/2000 Sb., zákon o obcích: starostou obce Jiřího Vašulína, místostarostou obce Josefa Tichého, členkou rady obce Mgr. Petru Zoubkovou, členem rady obce Ing. Aloise Lišku, členem rady obce Mgr. Ing. Davida Dvořáka, Starosta a místostarosta jsou uvolněnými členy Zastupitelstva obce Střelice.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;schvaluje;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice schválilo obsazení finančního a kontrolního výboru: Finanční výbor: předseda - Vojtěch Liška členové - Petr Rozsíval, PhDr. Milena Pantůčková, David Otoupalík, Jiří Mazal Kontrolní výbor: předseda - Mgr. Eva Bartoňová členové - Mgr. Robert Ströbinger, Martin Skoupý, Petra Vidláková, Jan Pernikář;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;ukládá;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice uložilo starostovi obce: a) svolat v měsíci prosinci řádné zasedání Zastupitelstva obce Střelice, b) připravit podklady pro volbu předsedů a členů komisí a jejich jmenování.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;ukládá;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice uložilo zastupitelům, aby do konce listopadu starostovi navrhli předsedy a členy komisí.;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
1;2022-10-19;2022;schvaluje;Správa obce a úřad;;Bez částky;;;;Zastupitelstvo obce Střelice schválilo odměny neuvolněným členům ZO podle nařízení vlády č. 318/2017 Sb. a dle materiálů z tohoto zasedání s platností od 1.11.2022. Zapsala: Ivana Pešková, Helena Ferdusová;Výpis_Usnesení_ 1_ZO_ 19_10_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/469/V%C3%BDpis_Usnesen%C3%AD_%201_ZO_%2019_10_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Ostatní;;Bez částky;13;0;0;Zastupitelstvo schválilo program jednání 2. Zastupitelstva obce Střelice.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;volí;Ostatní;;Bez částky;12;0;1;Za ověřovatele zápisu zvolilo zastupitelstvo pana Petra Rozsívala;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;volí;Správa obce a úřad;;Bez částky;12;0;1;Do návrhové komise zvolilo pana Mgr. Roberta Ströbingera;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;bere na vědomí;Ostatní;;Bez částky;;;;Zastupitelstvo obce Střelice vzalo bez připomínek na vědomí zprávu o činnosti Rady obce Střelice od 1. Zastupitelstva obce.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;bere na vědomí;Dotace a finance;;Bez částky;;;;Zastupitelstvo obce Střelice vzalo na vědomí rozpočtové opatření č. 9/2022, které schválila Rada obce č. 86 dne 26. 9. 2022.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;bere na vědomí;Dotace a finance;;Bez částky;;;;Zastupitelstvo obce Střelice vzalo na vědomí rozpočtové opatření č. 10/2022, které schválila Rada obce č. 1 dne 26. 10. 2022.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;bere na vědomí;Dotace a finance;;Bez částky;;;;Zastupitelstvo obce Střelice vzalo na vědomí rozpočtové opatření č. 11/2022, které schválila Rada obce č. 4 dne 30. 11. 2022.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;;Bez částky;13;0;0;Zastupitelstvo obce Střelice schválilo rozpočet obce Střelice na rok 2023.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;;Bez částky;13;0;0;Zastupitelstvo obce Střelice schválilo Střednědobý výhled rozpočtu pro rok 2024– 2025.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;150000;100–500 tis. Kč;13;0;0;Zastupitelstvo obce Střelice schválilo individuální dotaci na základě žádosti Junák - český skaut, středisko Wahinkpe Střelice, z. s. z rozpočtu obce Střelice pro rok 2023 ve výši 150.000,- Kč.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;pověřuje;Dotace a finance;;Bez částky;4;6;3;Zastupitelstvo obce Střelice pověřilo Radu obce Střelice dalším jednáním ve věci dotace pro FK Střelice z.s.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;500000;0,5–1 mil. Kč;9;2;2;Zastupitelstvo obce Střelice schválilo individuální dotaci na základě žádosti FK Střelice z.s. z rozpočtu obce Střelice pro rok 2023 ve výši 500.000,- Kč.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;70000;50–100 tis. Kč;13;0;0;Zastupitelstvo obce Střelice schválilo individuální dotaci na základě žádosti dechové hudby Střeličáci z.s. z rozpočtu obce Střelice pro rok 2023 ve výši 70.000,- Kč.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;480000;100–500 tis. Kč;13;0;0;Zastupitelstvo obce Střelice schválilo individuální dotaci na základě žádosti č. 1 Tělocvičné jednoty Sokol Střelice z rozpočtu obce Střelice pro rok 2023 ve výši 480.000,- Kč.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;neschvaluje;Dotace a finance;233000;100–500 tis. Kč;13;0;0;Zastupitelstvo obce Střelice neschválilo individuální dotaci na základě žádosti č. 2 Tělocvičné jednoty Sokol Střelice z rozpočtu obce Střelice pro rok 2023 ve výši 233.000,- Kč.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;75000;50–100 tis. Kč;13;0;0;Zastupitelstvo obce Střelice schválilo individuální dotaci na základě žádosti Sboru dobrovolných hasičů obce Střelice z rozpočtu obce Střelice pro rok 2023 ve výši 75.000,- Kč.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;200000;100–500 tis. Kč;13;0;0;Zastupitelstvo obce Střelice schválilo individuální dotaci na základě žádosti Římskokatolické farnosti Střelice z rozpočtu obce Střelice pro rok 2023 ve výši 200.000,- Kč.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;50000;50–100 tis. Kč;13;0;0;Zastupitelstvo obce Střelice schválilo individuální dotaci na základě žádosti Včelařského spolku ve Střelicích u Brna z rozpočtu obce Střelice pro rok 2023 ve výši 50.000,- Kč.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;10;do 10 tis. Kč;13;0;0;Zastupitelstvo obce Střelice schválilo navýšení členského příspěvku v MAS Bobrava, z.s. z 10,- Kč na 15,- Kč/obyvatele od r. 2023.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Kultura, sport a spolky;;Bez částky;13;0;0;Zastupitelstvo obce Střelice: schválilo vstup obce Střelice jako člena do spolku ENERKOM Bobrava, z.s. souhlasilo se Stanovami ENERKOM Bobrava, z.s. pověřilo zastupováním v ENERKOM Bobrava, z.s. starostu obce Jiřího Vašulína. Jeho zástupcem bude místostarosta Josef Tichý.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Pozemky, majetek a bydlení;;Bez částky;13;0;0;Zastupitelstvo obce Střelice schválilo směnnou smlouvu s paní Š. H. a panem Ing. P. H., kteří vlastní pozemek p. č. 1415/6 – 139 m2 a Obcí Střelice, nám. Svobody 1/111, 664 47 Střelice, která vlastní pozemek p. č. 1105/2 - 139 m2, orná půda. Jedná se o nově oddělené pozemky dle geom. plánu č. 2596-1097/2022 ze dne 3. 8. 2022. Zastupitelstvo obce Střelice pověřilo starostu podpisem směnné smlouvy.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Životní prostředí a odpady;;Bez částky;13;0;0;Zastupitelstvo obce Střelice schválilo, že Obec Střelice bude ve Svazku vodovodů a kanalizací Ivančice zastupovat starosta obce Jiří Vašulín. Jeho zástupcem bude místostarosta Josef Tichý.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Ostatní;;Bez částky;13;0;0;Zastupitelstvo obce Střelice schválilo, že Obec Střelice bude v MAS Bobrava, z.s. zastupovat starosta obce Jiří Vašulín. Jeho zástupcem bude místostarosta Josef Tichý.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Stavby, investice a územní rozvoj;;Bez částky;13;0;0;Zastupitelstvo obce Střelice schválilo místem pro uzavírání manželství obřadní síň obce Střelice v budově nám. Svobody 111/1, 664 47 Střelice. Zastupitelstvo obce pověřilo všechny členy Rady obce Střelice k přijímání projevu vůle při vstupu do manželství.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
2;2022-12-19;2022;schvaluje;Dotace a finance;;Bez částky;13;0;0;Zastupitelstvo obce Střelice schválilo členský příspěvek v Dobrovolném svazku obcí Šlapanicko ve výši 25,- Kč/obyvatele od r. 2023.;Usnesení_ 2_ZO_19_12_2022_zpravodaj.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/470/Usnesen%C3%AD_%202_ZO_19_12_2022_zpravodaj.pdf
3;2023-02-23;2023;schvaluje;Ostatní;;Bez částky;14;0;0;Zastupitelstvo schválilo program jednání 3. Zastupitelstva obce Střelice.;Usnesení_ 3_ZO_23_2_2023_web.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/468/Usnesen%C3%AD_%203_ZO_23_2_2023_web.pdf
3;2023-02-23;2023;volí;Ostatní;;Bez částky;13;0;1;Za ověřovatele zápisu zvolilo zastupitelstvo paní Zuzanu Hlouškovou;Usnesení_ 3_ZO_23_2_2023_web.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/468/Usnesen%C3%AD_%203_ZO_23_2_2023_web.pdf
3;2023-02-23;2023;volí;Správa obce a úřad;;Bez částky;14;0;0;Do návrhové komise zvolilo pana Ing. Aloise Lišku;Usnesení_ 3_ZO_23_2_2023_web.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/468/Usnesen%C3%AD_%203_ZO_23_2_2023_web.pdf
3;2023-02-23;2023;bere na vědomí;Ostatní;;Bez částky;;;;Zastupitelstvo obce Střelice vzalo bez připomínek na vědomí zprávu o činnosti Rady obce Střelice od 2. zastupitelstva obce.;Usnesení_ 3_ZO_23_2_2023_web.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/468/Usnesen%C3%AD_%203_ZO_23_2_2023_web.pdf
3;2023-02-23;2023;bere na vědomí;Dotace a finance;;Bez částky;;;;Zastupitelstvo obce Střelice vzalo na vědomí rozpočtové opatření č. 12/2022, které schválila rada obce č. 6 dne 21. 12. 2022.;Usnesení_ 3_ZO_23_2_2023_web.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/468/Usnesen%C3%AD_%203_ZO_23_2_2023_web.pdf
3;2023-02-23;2023;bere na vědomí;Dotace a finance;;Bez částky;;;;Zastupitelstvo obce Střelice vzalo na vědomí rozpočtové opatření č. 1/2023, které schválila rada obce č. 9 dne 30. 1. 2023.;Usnesení_ 3_ZO_23_2_2023_web.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/468/Usnesen%C3%AD_%203_ZO_23_2_2023_web.pdf
3;2023-02-23;2023;schvaluje;Kultura, sport a spolky;;Bez částky;14;0;0;Zastupitelstvo obce Střelice schválilo prodloužení platnosti Programu rozvoje obce Střelice 2017-2022 do 31. 12. 2023. Zastupitelstvo obce schválilo doplnění programu- Opatření 3.3: Podpora činnosti spolků a jejich zázemí pro kulturní akce.;Usnesení_ 3_ZO_23_2_2023_web.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/468/Usnesen%C3%AD_%203_ZO_23_2_2023_web.pdf
3;2023-02-23;2023;schvaluje;Pozemky, majetek a bydlení;118000;100–500 tis. Kč;14;0;0;Zastupitelstvo obce Střelice schválilo návrh Kupní smlouvy s Českými dráhami, a.s., Nábřeží L. Svobody 1222, 110 15 Praha 1 na nákup drážního pozemku p.č. 3441/32, výměra 317 m2, druh pozemku ostatní plocha, k.ú. Střelice u Brna, za celkovou cenu 118.000,- Kč. Zastupitelstvo obce pověřilo starostu obce podpisem Kupní smlouvy.;Usnesení_ 3_ZO_23_2_2023_web.pdf;https://www.streliceubrna.cz/sites/default/files/files/documents/468/Usnesen%C3%AD_%203_ZO_23_2_2023_web.pdf
